代码,名称,日期,周收益(%),近一月(%),近三月(%),近半年(%),近一年(%),总收益(%),净值
513310,华泰柏瑞中证韩交所中韩半导体ETF(QDII),2026-04-29,5.73,50.96,25.75,20.99,50.44,283.19,3.83
159981,建信能源化工期货ETF,2026-04-29,5.35,35.53,1.24,30.72,37.47,72.60,1.73
159309,汇添富中证油气资源ETF,2026-04-29,2.57,33.31,-0.35,8.89,43.26,53.43,1.53
561760,博时中证油气资源ETF,2026-04-29,2.55,33.00,-0.34,8.96,42.93,47.94,1.48
513350,富国标普石油天然气勘探及生产精选行业ETF(QDII),2026-04-28,4.02,32.80,-9.56,23.34,32.94,22.65,--
159518,嘉实标普石油天然气勘探及生产精选行业ETF(QDII),2026-04-28,4.01,32.77,-9.58,23.34,32.87,16.89,--
159326,华夏中证电网设备主题ETF,2026-04-29,-2.45,32.62,4.86,14.23,35.07,96.56,1.97
563150,油气资源,2026-04-29,2.59,32.43,-0.31,8.80,43.03,46.82,1.47
510770,申万菱信上证G60创新ETF,2026-04-29,3.73,31.03,19.44,12.49,29.57,-1.77,0.98
515050,华夏中证5G通信主题ETF,2026-04-29,-3.81,30.65,26.33,27.14,29.55,197.13,2.97
159994,5GETF,2026-04-29,-3.85,30.30,26.07,26.75,29.29,142.34,1.21
561570,华泰柏瑞中证油气产业ETF,2026-04-29,2.93,29.22,1.89,8.36,40.40,49.27,1.49
515880,国泰中证全指通信设备ETF,2026-04-29,-5.91,29.16,24.17,26.00,34.36,298.17,1.33
561360,国泰中证油气产业ETF,2026-04-29,2.95,29.13,1.69,7.80,40.01,59.08,1.59
159320,广发恒生A股电网设备ETF,2026-04-29,-3.15,28.57,5.39,12.42,31.46,112.39,2.12
515220,国泰中证煤炭ETF,2026-04-29,8.99,28.47,3.55,17.24,14.21,208.51,1.32
561380,国泰恒生A股电网设备ETF,2026-04-29,-3.24,28.31,5.18,12.12,30.96,111.18,2.11
159663,华夏中证机床ETF,2026-04-29,0.34,27.27,15.50,16.19,28.57,100.05,2.00
159667,国泰中证机床ETF,2026-04-29,0.25,27.11,15.33,16.05,28.29,101.82,2.02
159327,万家中证半导体材料设备主题ETF,2026-04-29,5.44,26.99,17.60,6.12,27.50,132.54,2.33
159516,国泰中证半导体材料设备主题ETF,2026-04-28,9.09,26.79,17.74,1.22,27.05,95.22,--
